Ubigeo|Departamento|Provincia|Distrito|Nombre de la Municipalidad|Dirección
010101|AMAZONAS|CHACHAPOYAS|CHACHAPOYAS|MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS|Jr. Ortíz Arrieta N° 588
010102|AMAZONAS|CHACHAPOYAS|ASUNCIÓN|MUNICIPALIDAD DISTRITAL DE ASUNCIÓN|Calle Nicarmal S/N
010103|AMAZONAS|CHACHAPOYAS|BALSAS|MUNICIPALIDAD DISTRITAL DE BALSAS|Av. Marañón N° 565
010104|AMAZONAS|CHACHAPOYAS|CHETO|MUNICIPALIDAD DISTRITAL DE CHETO|Jr. Unión S/N
010105|AMAZONAS|CHACHAPOYAS|CHILIQUÍN|MUNICIPALIDAD DISTRITAL DE CHILIQUÍN|Calle San Martín S/N - Plaza de Armas Vituya
010106|AMAZONAS|CHACHAPOYAS|CHUQUIBAMBA|MUNICIPALIDAD DISTRITAL DE CHUQUIBAMBA|Jr. San Martín S/N Mz. 30 Lt. 5
010107|AMAZONAS|CHACHAPOYAS|GRANADA|MUNICIPALIDAD DISTRITAL DE GRANADA|Jr. Tupac Amaru S/N - Plaza de Armas
010108|AMAZONAS|CHACHAPOYAS|HUANCAS|MUNICIPALIDAD DISTRITAL DE HUANCAS|Jr. José Olaya N° 103
010109|AMAZONAS|CHACHAPOYAS|LA JALCA|MUNICIPALIDAD DISTRITAL DE LA JALCA|Av. Alonso de Alvarado N° 750
010110|AMAZONAS|CHACHAPOYAS|LEIMEBAMBA|MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA|Jr. Sucre N° 121
010111|AMAZONAS|CHACHAPOYAS|LEVANTO|MUNICIPALIDAD DISTRITAL DE LEVANTO|Jr. Alonso de Alvarado N° 211 Mz. 2 Lt. 1 Km. 110
010112|AMAZONAS|CHACHAPOYAS|MAGDALENA|MUNICIPALIDAD DISTRITAL DE MAGDALENA|Jr. Porvenir N° 311 Mz. 10 Lt. 1
010113|AMAZONAS|CHACHAPOYAS|MARISCAL CASTILLA|MUNICIPALIDAD DISTRITAL DE MARISCAL CASTILLA|Jr. Limatambo N° 245
